failure					        ձախողում
favorite				        նախընտրած
feed					          հոսք
file				            նիշք
file system			        նիշքային համակարգ
filter				          զտել, ֆիլտրել
find				            գտնել
finder				          որոնիչ
flash drive			        կրիչ, յիշասարք
flip book				        սահատետր
float				            սահող
floating point		      սահող ստորակէտով
flexible			          ճկուն
folder list			        պանակների ցուցակ
folder pane			        պանակի փեղկ
folder				          պանակ
font					          տառատեսակ, տառաղբիւր
footer					        էջատակ, էջախորագիր, ստորագիր
footnote				        ծանոթագրութիւն, տողատակի ծանօթագրութիւն
format					        ձեւաչափ
forward					        փոխանցել, վերառաքել
frame					          շրջանակ
free software			      ազատ ծա, ազատ ծրագրային ապահովում, ազատ ծրագրաշար 
gateway					        անցախուց
generate				        գեներացնել
generator				        գեներատոր
gradient				        սահանցում
graphic					        գրաֆիկական
graphics				        գծապատկեր
guestbook				        այցեգիրք
graphical user interface	օգտագործողի գրաֆիկական միջերես
hard disk drive			կոշտ սկաւառակ
hardware				սարքաշար, կարծրամաս
header					գլխագիր
heading					վերնագիր, խորագիր
header file				բովանդակային նիշք
header					էջագլուխ
high definition			բարձր հստակութիւն
highlight				լուսաշեշտել, լուսանշել, գունանշել
hint					յուշում, ակնարկ
homepage				տնէջ
home					սկիզբ
host					խնամորդ, հանգոյց
hyperlink				յղում, գերկապ, գերյղում, հիպերյղում
Hypertext Markup Language	Հիպերտեքստի նշարկման լեզու
Hypertext Transfer Protocol	Հիպերտեքստի փոխանցման հաղորդակարգ
hypertext				հիպերտեքստ, գերտեքստ, գերբառաշար, գերբառահյուսք, գերհյուսք 
icon					պատկերակ
identification			նոյնականացում, նոյնացում, ինքնութեան հաստատում, իսկութեան վաւերացում
ignore					անտեսել
image					պատկեր
import					ներածել, ներմուծել
inbox folder		մտից պանակ
indent				նոր պարբերութիւն
indigenous				բնիկ, անդրենածին
inline					ներտողային
input					ներմուծել
insert					զետեղել
installation			տեղակայում, տեղադրում
interaction				միջներգործութիւն, միջազդեցութիւն
interactive				փոխազդու, փոխգործուն
interface				միջերես, արտադէմ
internet				համացանց
internet service provider	ինտերնետ ծառայութիւնների մատակարար
interpreter				ինտերպրետատոր
intranet				ներցանց
inverse					հակադարձ, հակադարձել
italic				շեղատառ, շեղագիր
item					տարր
jabberwocky				փրչրթան
jump cut				ցատկանց, ցատկանցու
justify					հաւասարեցնել տողավերջերը
kernel					միջուկ
kernel module			միջուկի մոդուլ
kernel space			միջուկի տիրոյթ
keyboard layout		շարուածք
keyboard				ստեղնաշար
keyframe				հիմնակադր
key						ստեղն
keyword					բանալի բառ, առանցքային բառ
kite					օդապարուկ, թռուցիկ (հին)
LAN						տեղային ցանց
landscape				լայնակի
layer					շերտ
layout				շարուածք, շարակարգ, դասաւորութիւն
legitimate				իրաւակարգ
lenses					ոսպնեակներ
lexeme					բառոյթ
license					արտօնագիր
line					տող
linked					կապուած
link					յղում
list item				ցուցակի տարր
Local Area Network						տեղային ցանց
local					տեղային
login					մուտքանուն, նույնացուցիչ
log						արձանագրություն
mailing agent			ուղերձագործակալ, իմակավար
mailing list			նամականի, իմականի
mail server				իմակաբաշխիչ, էլ֊փոստի սպասարկիչ
manual					ձեռնարկ, ձեռադիր (կարգաւորումներ)
markdown				նշաձեւ
marker					նշիչ, նշորդ
markup					նշարկում, նշագրում
markquee				նշում, առանձնացում, ընդգծում
match					համընկում, համընկնել
match cut				սազանցում
menu					ընտրացուցակ, ընտրաերիզ, ընտրանի, հրամանացանկ
message					հաղորդագրութիւն
merge					միաւորել, միաձուլել
metadata				մետատուեալ(տուեալներ տուեալների մասին)
microcomputer			մանրակարգիչ
microprocessor			մանրավարիչ
mobile					դիւրակիր
mode					ռեժիմ
modem					միացուցիչ
module					մոդուլ, միաւոր
mount					միացնել (սկաւառակը, դիսկը)
mouse pad				մկնակալ
mouse					մկնիկ
movie					կինո, կինօ, շարժապատկեր
muffler					խլացուցիչ
multimedia				բազմասփյուռ, մուլտիմեդիա
multiplayer				բազմախաղորդ
native					բնիկ, անդրենածին
navigator				նաւորդ
navigation				նաւարկում, նաւարկող
nebulae					միգամածութիւն
network					ցանց
newsgroup				տեղեկատվախումբ, վիճախումբ, բանախումբ, լրատուն
nickname				մականուն, կեղծանուն
node					հանգոյց
notification			ծանուցում
obsessive				կպչուն
offline					անցանց
online					առցանց, առգիծ
opacity					անթափանցիկութիւն
open access movement	բաց հասանելիութեան շարժում
operating system		օպերացիոն համակարգ, բանավարիչ
option					ընտրանք, նախընտրութիւն, հնարաւորութիւն 
optional				ընտրանքային
ordered list			դասաւորուած ցուցակ
orientation				կողմնորոշում
override				գերակայել
output					արտածում
package management		փաթեթների կառավարում
package					փաթեթ
раckage manager	փաթեթների կառավարիչ
pacman					համփիկ
padding					միջանկեալ ազատ տարածութիւն, հեռաւորութիւնը սահմանագծից
panel					  վահանակ
pane				    փեղկ
pan out					հետագնայ
parser					վերլուծիչ
partition				հատոր
password				գաղտնագիր, ծածկագիր, գաղտնաբառ, պայմանաբառ, նշաբան
paste					  փակցնել
path					  ուղի
pattern					նմուշ
PCB						  տպասալ
periodic				պարբերական
permission			թոյլտւութիւն, իրաւասութիւն, լիազօրութիւն
pick					  ընտրել
pipeline				խողովակաշար
pixel					  փիքսել
platform				հարթակ
plotter					գծիչ
plugin					հաւելում
pointer					ցուցիչ
polarizer				բեւեռացուցիչ
polarizing filter		բեւեռացուցիչ
polygon					բազմանկիւն
рop-down				վարիջակ
рop-up					վերելուկ
рrojector				արտապատկերիչ
portable				տեղափոխելի
port					  կցատեղ, միացք, սարքամիացք
portrait				դիմանկարի ռեժիմ, երկայնակի
powerups				ուժաճ
preferences			նախընտրութիւններ
preference			նախընտրանք
preset					նախակայում
Printed circuit board	տպասալ
printer					տպիչ
priority				առաջնահերթութիւն
prism					  հատուածակողմ
privacy					գաղտնիութիւն
privilege				լիազօրութիւն, արտօնութիւն
process					գործընթաց, պրոցես
processor				հոլովույթ, պրոցեսոր
program					ծրագիր
properties			յատկութիւններ, յատկանիշներ
property				յատկութիւն, յատկանիշ
protocol				հաղորդակարգ
proximity sensor		հեռաչափ, մօտիկութեան սենսոր, մոտիկության սենսոր
proximity			  մօտիկութիւն
public folder		հանրային պանակ
puree					  խիւս
query					  հարցում
quick reader		արագընթերց
radius					շառաւիղ
range					  միջակայք
raw cut					կոշտ հատում
reader					ընթերցիչ
reboot					վերամեկնարկել, վերբեռնել
rectangular				ուղղանկիւն
recursive				կարգընթաց
redirection			վերաուղղորդում
redo					  վերարկել
reference				առնչութիւն, վկայակոչում, մէջբերում, քաղուածք
referrer				հղիչ
register				գրանցուել
regular expression		կանոնաւոր արտայատութիւն
reliable				յուսալի
reload					վերբեռնել
rename					վերանուանել, անուանափոխել
render					նիւթաւորել
replace					փոխարինել
reply					  պատասխան
report					զեկոյց
repository      շտեմարան
request					հարցում
reservation			վերապահում
reserved				վերապահած
resolution			որոշութիւն (պաստառի), չափերի համամասնութիւն, լուծաչափ, լուծականութիւն
response				պատասխան
restart					վերամեկնարկել, վերագործարկել
restore					վերականգնել
retargetable		վերաթիրախաւորուող
reversal        հակադարձելի
reversal film   հակադարձելի ժապաւէն
RFID sensor			ռադիոյաճախութեան սենսոր, ռադիոյաճախութեան զգիչ
right click			աջկտտացնել
root folder			արմատային պանակ
rotate				  պտտել
router					երթուղիչ
run						  գործարկել, աշխատեցնել
sauce					  թացան
save as					պահել իբրեւ… (որպէս)
save					  պահել, հիշել
scale					  սանդղակ, չափափոխել
scanner					տեսածրիչ, ծրիչ, դիտակ, տեսածիր
screenshot			էկրանահան
script				  սկրիպտ, գրուածք
scroll					գլիկ
scrollable			շարժական
search          որոնել
search engine		որոնիչ
season-ticket		բաժանորդագիր
security				անվտանգութիւն
select					նշել
selfmotivated		ինքնամղուած
semantic				իմաստային, իմաստաբանական, սեմանտիկ
send later			ուղարկել յետոյ, առաքել յետոյ
send					  ուղարկել, առաքում, առաքել
sensor				  զգիչ, զգայունակ, սենսոր
server					սպասարկիչ, բաշխիչ
session					նիստ, աշխատաշրջան
settings				կարգաւորումներ
setting					կարգաւորում, կայանք
setup					  լարք, կարգաւորում
set						  բազմութիւն, կազմ, կայել
shell					  կեղեւ, միջավայր
shortcut				կարճատ, կանչագիր
shut down				անջատել
sidebar					կողասիւն
site					  կայք, հանգրուան, հանգոյց, տեղամաս
skew					  թեքում
smartphone			խելախօս
snapshot				ճեպապատկեր
software				ծրագրաշար, ծրագրային ապահովում, ծրագրակազմ, փափկամաս
sound effect		ձայնային ազդանք
spacebar				բացատ
space					  բացատ
specific				բնորոշ, յատուկ
specification   բնորոշում, մասնագիր
specify					բնորոշել, նշել
split					  բաժանել
spread sheet		աղիւսակաթերթ, ցուցակարգիչ
spread					վերածածկ
sprite					հարթուկ
stamp					  կնիք, կնքել, դրոշմ, դրոշմել
standardization	հիմնօրինակում
start					  մեկնարկ
status bar			վիճակագօտի
status					կարգավիճակ, վիճակ
sticky keys			կպչուն ստեղներ
stop					  դադարեցնել, կանգնեցնել, արգելակել
storytelling		պատմասութիւն
streamlined     շրջահոսելի
stretch					ձգել
string					տող
style					  ոճ
stylesheet			ոճային սխեմա
subject					նիւթ, առարկա, թեմա
subscriber			բաժանորդ
subscription		բաժանորդագիր
support					աջակցութիւն, օժանդակում
surveillance		վերահսկողութիւն
sustainable			կենսակայուն
switch          փոխարկիչ
synopsis				համառոտագիր
syntax					շարահիւսութիւն
tab						  ներդիր, սիւնատ, ցուցակաստեղ
table					  աղիւսակ
tag						  պիտակ, տրոհ, տեգ
task					  խնդիր
task pane				առաջադրանքների վահանակ
technical support		տեխնիկական (թեքնիկական) աջակցութիւն
technology			թեքնաբանութիւն, թեքնոլոգիա, տեխնոլոգիա
telematics			հեռա(տեղեկա)գիտութիւն
telemetry				հեռուստաչափութիւն
telephone subscriber	բաժանորդ
television			պատկերասփիւռ, հեռուստատեսութիւն
template				շաբլոն, ձեւանմուշ, կաղապար
tenant					սպասառու
terminal				վերջակայան, եզրակայան, եզրույթ, վերջնասարք
term					  եզր
text					  գրուածք, տեքստ
thumbnail				մանրապատկեր
tile					  սալիկ
timelapse				ժամահոսք
timeline				ժամագիծ
to click				կտացնել, սեղմել, չխկել, թխկել, կտիկ
toggle					փոխարկել
to install			տեղակայել
toolbar					գործիքագոտի
tools					  գործիքներ
tool					  գործիք
touchface				հպերես
touchscreen			հպէկրան
touch					  հպել
transfer				փոխանցել
transform				փոխակերպել
transparent			թափանցիկ
tweeps					թուիթերցիներ
two-step verification	երկքայլ ստուգում
typed					  տիպաւորուած
typeface				տառատեսակ
type					  տիպ
underline				ընգծում, ընդգծել
underscore      ընդգծիկ
undo					  ետարկում, ետարկել
unknown					անյայտ
uncompress			անխիտ
unordered list	չդասաւորուած ցուցակ
upload					վերբեռնել
user					  օգտուող, օգտագործող, օգտատէր
user space			կիրառութիւնների տիրոյթ, օգտագործողի տիրոյթ
utility					օժանդակ ծրագիր
valence					կարգաթիւ
value					  արժէք
variable				փոփոխական
verification		ստուգում, վաւերացում
verify					ստուգել, վաւերացնել
version				  վարկած, տարբերակ
vertical				ուղղահայաց
video					  տեսանիւթ
virtual					կարծական, վիրտուալ, վերիրական
virus					  մանրէ
visible					տեսանելի
visions					տեսլակներ
visual					տեսողական, դիտողական
WAN						  ընդլայնուած ցանց
webmaster				կայքավար, վիպասան
webpage					կայքէջ, վիպէջ
web server			ցանցաբաշխիչ, կայքաբաշխիչ
website					կայք, հանգրուան, հանգոյց, տեղամաս
web						  ցանց, վէպ, ոստայն, համավէպ
width					  լայնութիւն
windshield      դիմապակի
wipe cut				արտամղում
wireless				անթել, անլար
word processor	բառավարիչ, բառամշակիչ, տեքստի խմբագրիչ
workflow				աշխատահոսք
workshop				աշխատարան
workstation			աշխատակայան
World Wide Web	ՀՀՀ (Համաշխարհային Համակարգչային Համավեպ), Համաշխարհային սարդոստայն 
wrap					  տողանցում
WWW						  ՀՀՀ (Համաշխարհային Համակարգչային Համավեպ), Համաշխարհային սարդոստայն
compressed file	խիտ նիշք, սեղմանիշք
compress				խտացնել, սեղմել
zooming					խոշորացնել, դիտափոխում
zoom in					խոշորացնել
zoom out				փոքրացնել
