
abruptness	գահավեժք, զառիթափ, սրություն, հանկարծակիություն
abrupt	զառիվեր, զառիթափ, հանկարծակի, հատու, սուր, կցկտուր
abscess	թարախակույտ, պալար
absconder	խուսափող, փախչող
abscond	խուսափել, փախչել
absence	բացակայություն, պակասություն, ցրվածություն, անուշադրություն
absentee	բացակայող, տնից դուրս ապրող, որեվէ բանից խուսափող
absently	ցրված կերպով, անուշադրությամբ
absent-mindedness	ցրվածություն, անուշադրություն
absent-minded	ցրված, անուշադիր
absent	բացակա, ցրված
absolutely	բացարձակապես, անպայման
absolute	բացարձակ, անսահման, մաքուր, անխառն
absolution	պատժից ազատվելը, դատարանով արդարացվելը, մեղքերի թողություն
absolutism	բացարձակ իշխանություն
absolve	ազատել, ներել, արդարացնել, թողություն տալ(մեղքերի)
absorbable	հեշտ կլանելի, ծծվող
absorbedly	կլանված, մեծ ուշադրությամբ
absorbent	ծծող, ներծծող, կլանող` ներծծող նյութ
absorber	կլանող, խոնավածուծ, ամորտիզատոր
absorbing	կլանում, ներծծում, խորասուզվել
absorb	ծծել, քամել, քաշել, խմել, սպառել
absorption	կլանում, կլանելը, ծծելը, ներծծ(վ)ելը, խորասուզվելը
absorptive	կլանող, ներծծող
abstainer	չխմող, ժուժկալ
abstain	ժուժկալել, իրեն զսպել, ձեռնապահ մնալ
abstemious	չափավոր, ժուժկալ
abstention	ժուժկալություն, չափավորություն, ձեռնապահություն
abstinence	ժուժկալություն, չափավորություն
abstinency	չափավորություն, ժուժկալություն
abstinent	չափավոր, ժուժկալ, չխմող
abstractedly	աբստրակտ կերպով, վերացականորեն, ցրված կերպով
abstractedness	վերացականություն, ցրվածություն
abstracted	մտազբաղ, ցրված
abstraction	վերացություն, աբստրակցիա, ցրվածություն
abstract	համառոտ շարադրանք, ամփոփում, վերացություն, վերացական
abstruse	խրթին, դժվար հասկանալի, խոր
absurdity	անհեթեթություն, անմտություն, անմիտ բան
absurd	անհեթեթ, անմիտ, ծիծաղելի, հիմար
abundance	առատություն, հարստություն, շատություն, բազմություն
abundant	առատ, լի, հարուստ
abuse	չարաշահում, աղճատում, նախատինք, վիրավորանք
abusive	նախատական, վիրավորական, հայհոյական
abutment	ընդհանուր սահման, կամարակալ, սահմանաբաժան գիծ, նեցուկ
abut	սահմանակից լինել, հարել
abysm	անդունդ, խորխորատ, հորձանուտ
abyssal	խորունկ, խորջրյա
abyss	անդունդ, դժոխք
acacia	ակացիա, լոբենի
academically	տեսականորեն, վերացականորեն
academical	ակադեմիական, համալսարանական
academician	ակադեմիկոս
academic	ակադեմիական, համալսարանական, զուտ տեսական, վերացական
academy	ակադեմիա
accede	հավանել
accelerated	արագացված
accelerate	արագացնել, արագանալ
accelerating	արագացնող
acceleration	արագացում
accelerative	արագացուցիչ
accelerator	հատուկ սարք, որը ԷՀՄ-ի արտադրողականությունը մեծացնում է
accentual	շեշտին վերաբերող, շեշտական, շեշտի հետ կապված, տոնիկ
accentuate	շեշտել, ընդգծել
accentuation	շեշտադրում, ընդգծում, արտասանություն, առոգանություն
accent	շեշտ, առոգանություն, արտասանություն, խոսք
acceptability	ընդունելիություն, թույլատրելիություն
acceptable	ընդունելի, թույլատրելի, հաճելի
acceptance	ընդունելություն, հավանություն, համաձայնություն
acceptation	բառի կամ արտահայտության ընդունված իմաստը
accepted	հավանություն գտած, ընդունված, ճանաչված
acceptor	հաղորդանքի ստացողը
accept	ընդունել, համաձայնել, բարյացակամլինել, պարտամուրհակը ընդունել
accessary	մասնակից, լրացուցիչ, երկրորդական, օգնական, ուղեկցում
accessible	մատչելի, ենթարկվող
accession	մուտք, մտնելը, գահ բարձրանալը, ավելացում, աճ, համաձայնություն
accessory	լրացուցիչ, երկրորդական, մասնակից, գործակից, լրացուցիչ պարագա
access	մուտք, մոտենալու հնարավորություն, նոպա (հիվանդության)
accidence	ձեվաբանություն, վթարայնություն
accidentally	պատահաբար, անակնկալ կերպով, անսպասելիորեն
accidental	պատահական, անակնկալ, օժանդակ, երկրորդական
accident	դժբախտ պատահար, վթար, դեպք, պատահականություն
acclaim	բուռն կերպով ծափահարել, ողջունել, հայտարարել, ազդարարել
acclamation	աղմկալից` միաձայն խրախուսանք, օվացիա
acclimatization	ակլիմատիզացիա, կլիմային վարժվելը
acclimatize	կլիմային վարժեցնել, ընտելացնել, ընտելանալ, կլիմային վարժվել
acclivity	թեքություն, զառիվայր, լանջ
acclivous	թեք, շեղ, աստիճանաձեվ բարձրացող
accommodate	հարմարեցնել, հարթել, համաձայնեցնել, մատակարարել, օթեվան տալ
accomodating	սիրալիր, զիջող, հարմարվող
accomodation	հարմարեցում, համաձայնություն, բնակարան, շենք, փոխատվություն
accompaniment	ուղեկցում, նվագակցում
accompanist	նվագակցող
accompany	ուղեկցել, նվագակցել
accomplice	մեղսակից, գործակից
accomplished	վերջացած, ավարտված, կատարված, տեղի ունեցած, կիրթ, կրթված
accomplishment	կատարելը, վերջացնելը, ավարտելը, կրթություն, կատարելություն
accomplish	լրացնել, կատարել, ավարտել, կատարելագործել
accordance	համաձայնություն, համապատասխանություն
accordant	համաձայն, համահնչյուն, ներդաշնակ, համապատասխան
accordingly	համապատասխանաբար, ուստի, այսպիսով
according	համապատասխանաբար, ~ to - համաձայն, ըստ
accordion	ակորդեոն, հարմոն
accord	համաձայնություն, համապատասխանություն, ակորդ, լավ ընդունել
accost	ողջույն, դիմում, ողջունել, դիմել մեկին, սկսել խոսել, ասել
accoucheur	մանկաբարձ
accoucheuse	մանկաբարձուհի
accountability	պատասխանատվություն, հաշվետվություն
accountable	պատասխանատու, բացատրելի
accountant-general	գլխավոր հաշվապահ
accountant	հաշվապահ, պատասխանող կողմը
accounting	հաշվառում, հաշվետու լինելը
account	հաշիվ, հաշվետվություն, բալանս, կարծիք, գնահատական, պատճառ, օգուտ
accouple	զուգել, միավորել, միացնել
accredited	պաշտոնապես ճանաչված, լիազորագըրված, բոլորի կողմից ընդունված
accredit	վստահել, լիազորել, վերագրել
accretion	աճում
accrue	բաժին հասնել, առաջ գալ, ծագել, ավելանալ, աճել
accumulate	հավաքել, դիզել, կուտակել, կիտել
accumulation	կուտակում, հավաքում, կույտ, զանգված
accumulative	կուտակված, կիտված, շահասեր, ընչաքաղց
accumulator	հավաքող, կուտակող, ընչաքաղց մարդ, կոլեկտոր
accuracy	ճշտություն, ճշգրտություն, ճշտապահություն
accurate	ճշգրիտ, ճշտապահ
accursed	անիծված, անիծյալ, նզովված, չարաբախտ, չարաբաստիկ
accurst	անիծված, անիծյալ, նզովված, չարաբախտ, չարաբաստիկ
accusation	մեղադրանք
accusative	հայցական հոլով
accused	մեղադրյալ
accuser	մեղադրող
accuse	մեղադրել
accustomed	վարժված, սովոր, սովորական
accustom	սովորեցնել, վարժեցնել
acerbity	տտպություն, կծվություն, սրություն
acetic	քացախի, քացախային
acetous	քացախային, թթու
acetylene	ացետիլեն, ացետիլենային
ace	միավոր, մեկնոց, չնչին քանակությամբ, առաջնակարգ օդաչու, մարզիկ
acheless	անցավ
ache	ցավ, ցավել, փափագել
achievable	հասանելի, նվաճելի
achievement	նվաճում, կատարում, ավարտում
achieve	հասնել մի բանի, ձեռք բերել, նվաճել, կատարել, ավարտել
achromatic	ախրոմատիկ, անգույն
acidify	օքսիդանալ, օքսիդացնել
acidity	թթվություն
acid-proof	թթվակայուն
acidulated	թթվաշ, թթվեցրած, թթված, դժգոհ
acidulous	թթվաշ
acid	թթու
acknowledgement	ճանաչում, հաստատում, ստացական, երախտագիտություն
acknowledge	ճանաչել, ընդունել, հաստատել ստացումը, երախտապարտ լինել
acme	բարձրագույն կետ, գագաթնակետ
acne	բշտիկ, պզուկ
acock	թեք, շեղ
acorn	կաղին
acoustics	ակուստիկա
acquaintance	ծանոթություն, ծանոթ
acquaint	ծանոթացնել, տեղեկացնել, ծանուցել, հաղորդել
acquiescence	լուռ համաձայնություն
acquiescent	ենթարկվող, հնազանդ
acquiesce	լուռ համաձայնվել
acquirement	ձեռք բերում, գիտելիքներ, ունակություններ (ձեռքբերովի)
acquire	ձեռք բերել, ստանալ
acquisition	ստացում, ստացված
acquisitive	շահասեր, ընկալունակ
acquittal	կատարելը, ազատվելը, արդարացում
acquittance	պարտքը վճարելը, պարտքից ազատվելը, ստացական
acquit	արձակել, ազատել
acreage	ակրերի քանակը, հողի մակերեսը ակրերով
acre	ակր (հողային չափ)
acridity	կծվություն, բարկ լինելը, սրություն, թունոտություն
acrid	կծու, դառը
acrimonious	բարկ, գրգռող, թունոտ
acrimony	բարկ լինելը, թունոտություն, մաղձոտություն, դառնություն
acrobacy	օդագնացության բարձրագույն վարպետություն
acrobatics	ակրոբատիկա
acrobatic	ակրոբատական
acrobat	ակրոբատ
acropolis	միջնաբերդ
across	լայնակի, լայնքով, մյուս կողմում, խաչաձեվ, վրայով, միջով
acrostic	աքրոստիկոս, ոտանավոր, որի տողերիսկզբնատառերը բառ են կազմում
acting	խաղ, պաշտոնակատար
action	գործողություն, ազդեցություն, գործողություն, վարմունք, աշխատանք, հարց, կռիվ, մարտ
activated	ակտիվացրած
activate	ակտիվացնել, ռադիոակտիվ դարձնել
activation	ծրագրի բերումը կատարման համար պատրաստ վիճակի
active	ակտիվ, գործունյա, եռանդուն, ազդող, մշտական, ներգործական(սեռ)
activity	գործունեություն, ակտիվություն, եռանդ
actor	դերասան
actress	դերասանուհի
actuality	իրականություն, ռեալություն, ռեալիզմ
actualize	իրականացնել, ռեալիստորեն պատկերել
actually	փաստորեն, իրականում, իսկապես, ներկայումս, տվյալ պահին
actual	իսկական, իրական, ընթացիկ, ժամանակակից
actuate	շարժման մեջ դնել, դրդել, խթանել
actuation	շարժման կամ գործողության մեջ դնելը, դրդում, խթանում
act	գործ, վարմունք, որոշում, փաստաթուղթ, վարվել, կատարել, ներգործել
acuity	սրություն
acumen	խորաթափանցություն
acuminate	սրել, սրություն տալ
acuteness	սրություն, խորաթափանցություն, զլություն
acute	սուր, խորաթափանց, բարձր, ծակող(ձայն)
adage	ասացվածք, առած, առակ
adagio	մեղմ, յամբ
adamantine	ամուր, անխախտելի, անընկճելի, ադամանդյա
adamant	ադամանդ, ամուր, անհողդողդ, անդրդվելի
adaptability	հարմարունակություն, պիտանիություն, կիրառելիություն
adaptation	հարմարվողականություն, հարմարվողություն
adapter	տարբեր տիպի(տվյալներով) սարքերի համակցող սարք
adapt	հարմարեցնել, փոփոխել, վերամշակել (վեպը)
ada	ծրագրավորման բարձր մակարդակի լեզու
addenda	հավելված, լրացում
addendum	հավելված, լրացում
adder	թունավոր օձ, իժ, լորտու
addiction	սովորություն, հակում
addict	թմրամոլ, անձնատուր լինել
additional	լրացուցիչ, ավելադիր
addition	հավելում, լրացում, գումարում, խառնորդ (քիմ)
addle-headed	դատարկագլուխ, անխելք
addle	հոտած, փչացած, դատարկ, խելառ, անմիտ, խառնել, խճճել, շփոթել
addressee	հասցեատեր
address imlied	անբացահայտ հասցե
address invalid	անիրական, անհասանելի հասցե
address machine	մեքենայական հասցե
address memory	հիշողության տիրույթի առաջին բջջի հասցեն
address real	տվյալի հասցեն իրական հիշողության մեջ
address source	մշակվող տվյալների զբաղեցրած տիրույթի հասցե
address start	սկզբնական հասցեն, որից սկսվումէ ծրագրի կատարումը
address	հասցե, դիմում, ճառ, ճարպկություն, սիրաշահել, ձեռնարկել
adduce	բերել(որպես ապացույց, օրինակ)
adduction	բերելը(ապացույցներ, օրինակներ)
add	գումարել, ավելացնել, միացնել
adept	գիտակ, հմուտ, ճարտար
adequacy	համապատասխանություն, ճշգրտություն, բավարարություն
adequate	համապատասխան, ճշգրիտ, բավարար, ըստ պահանջի
adequation	հավասարեցում, համարժեք
adherence	կապվածություն, հավատարմություն, հարում, ամուր միացություն, կցում
adherent	հետեվորդ, կողմնակից, համախոհ, ամուր միացած, կից, կպչուն
adhere	ամուր կպչել, կառչել, հավատարիմ մնալ
adhesion	փակչում, կցում, ձգում, հավատարմություն, նվիրվածություն
adhesive	մածուցիկ, կպչուն, միացնող, մածուցիկ` կպչուն նյութ
adieu	հրաժեշտ, մնաք բարով, երթաք բարով
adit	մուտք, անցք, մերձեցում, մոտեցում
adjacency	մոտիկություն, հարեվանություն, սահմանակցություն, շրջակայք
adjacent	հարակից, մերձավոր, կից
adjective	ածական, լրացուցիչ, ոչ ինքնուրույն, կախյալ
adjoin	միավորել, կցել, ավելացնել
adjournment	հետաձգում, ընդմիջում
adjourn	հետաձգել, ընդմիջում հայտարարել, ժողովը փակել(տեղափոխել), ցրվել
adjudgement	դատավճիռ կայացնել, դատապարտել, շնորհելը (մրցանակ)
adjudge	վճռել, որոշել
adjudgment	դատավճիռ կայացնել, դատապարտելը, շնորհելը(մրցանակ)
adjudicate	վճռել, վճիռ կայացնել, դատապարտել, դատել
adjunct	հավելված, երկրորդական, հետեվորդ, պաշտոնակից, ընկեր
adjuration	թախանձանք, աղաչանք, երդում
adjure	թախանձել, խնդրել, երդվեցնել
adjustable	կարգավորելի, շարժական
adjuster	սարքավորող, հավաքող
adjusting	սարքավորող, կանոնավորող, հավաքման (ցեխ)
adjustment	կանոնավորում, հարմարեցում, սարքավորում, հավաքում, ճշտելը
adjust	հարմարեցնել, կարգի բերել, հարթել, ճշտել, ստուգել
adjuvant	օգնական, օգտակար, նպաստող
admeasurement	չափում, չափ, բաժանում, բաժանելը
admeasure	չափել, չափելով բաժանել, բաժանել
administer	գործերը վարել, կառավարել, գրել, կատարել, տալ(դեղ), աջակցել
administrate	կառավարել, ղեկավարել
administration	կառավարչություն, կառավարությունդեղորայքի նշանակում(գործածում)
administrative	վարչական, գործադիր(իշխանության մասին)
administrator	ադմինիստրատոր, կառավարիչ, աստիճանավոր, խնամակալ
admirable	հիանալի, սքանչելի
admiralty	ծովակալություն, ծովային նախարարություն
admiral	ծովակալ
admiration	հիացմունք, սքանչացում, հիացմունքի առարկա
admirer	երկրպագու, պաշտող
admire	հիանալ, սքանչանալ, փափագել
admissable	թույլատրելի, ընդունելի
admission	թույլատրելը, ընդունելը, մուտք, մուտքի վճար
admissive	մատչելի
admittance	մուտք
admit	ներս թողնել, թույլատրել, ընդունել, տեղավորել, պարունակել
admixture	խառնուրդ
admix	խառն(վ)ել
admonishment	հորդորանք, նախազգուշացում, հիշեցում, ցուցում
admonish	խրատել, զգուշացնել
admonition	հորդորանք, հանդիմանություն, նկատողություն
admonitory	հորդորող, նախազգուշացնող
adolescence	պատանեկություն
adolescent	պատանյակ, աղջնակ, դեռահաս, պատանեկական, պատանեկան
adoptee	որդեգիր, հոգեզավակ
adoption	որդեգրում, ընդունում, յուրացում, ընտրություն, փոխառնելը(բառը)
adoptive	որդեգրյալ, ընկալունակ
adopt	որդեգրել, յուրացնել, ընդունել, փոխառնել, ընտրել
adorable	պաշտելի, հիասքանչ
adoration	պաշտում, երկրպագություն
adorer	երկրպագու, պաշտող
adore	պաշտել, երկրպագել
adornment	զարդարում, զարդարանք
adorn	զարդարել
adown	ներքեվում, ներքեվ, ցած
ado	աղմուկ, իրարանցում, անհանգստություն, դժվարություն
adrenal	վերերիկամային գեղձ, վերերիկամային
adrift	հոսանքով, ալիքների կամքով, կույր պատահականությամբ
adroit	ճարտար, ճարպիկ, վարպետ, հաջողակ
adulate	շողոքորթել, փաղաքշել
adulation	քծնանք, ստորաքարշություն
adulatory	շողոքորթ, հաճոյակատար
adulterant	խառնուրդ
adulterate	խարդախ, կեղծ, ամուսնական հավատարմությունը խախտող, ապօրինի ծնված
adulteration	կեղծում, խարդախում
adulterer	դավաճանող, շնացող(տղամարդ)
adulteress	դավաճանող, շնացող(կին)
adultery	ամուսնական հավատարմության խախտում, դավաճանություն
adult	չափահաս, հասուն
adult	չափահաս մարդ, չափահաս, հասուն
adust	այրված, վառված, չորացած, արեվակեզ, մաղձոտ, մռայլ
advanced	առաջ քաշված, ավելի բարձր տիպի, առաջադեմ, առաջավոր
advance guard	ավանգարդ
advancement	առաջխաղացում, հաջողություն, առաջադիմություն, բարձրացում
advance	առաջխաղացում, հաջողություն, կանխավճար, բարձրացում (գնի)
advantageous	շահավետ, նպաստավոր
advantage	առավելություն, նպաստել, օգնել, առաջ տանել
adventitious	լրացուցիչ, կողմնակի, պատահական
adventurer	արկածախնդիր, բախտախնդիր, ավանտյուրիստ
adventuress	արկածախնդիր, բախտախնդիր(կին), ավանտյուրիստուհի
adventure	արկած, ավանտյուրա, դեպք, խիզախել, ապրումներ, վտանգել, համարձակվել
adventurous	համարձակ, վտանգալից, նախաձեռնող
advent	գալուստ, ժամանում, ներս մտնելը, հայտնվելը, Քրիստոսի գալուստը
adverbial	մակբայական
adverb	մակբայ
adversary	հակառակորդ, ոսոխ, ախոյան
adversative	հակադրություն արտահայտող, ընդդիմական(շաղկապ)
adverse	ներհակ, թշնամական, վնասակար, անբարենպաստ, հակադիր, հակառակ
adversity	ձախորդություն, թշվառություն
advertence	ուշադիր վերաբերմունք, ուշադրություն
advertency	ուշադիր վերաբերմունք, ուշադրություն
advertisement	հայտարարություն, ռեկլամ
advertiser	հայտարարություն տվող անձ, հայտարարությունների թերթ
advertise	ազդարարել, ռեկլամել
advertisment	հայտարարություն, ռեկլամ
advertize	հայտարարություն տալ, ազդարարել, ռեկլամել
advert	վկայակոչել, հիշել, ուշադրություն հրավիրել
advice	խորհուրդ, ծանուցում, հաղորդում
advisedly	մտածված, գիտակցաբար
advised	տեղյակ, մտածված, քննարկված, խոհեմ
adviser	խորհրդական, կոնսուլտանտ, խորհրդատու
advise	խորհուրդ տալ, ծանուցել, տեղեկացնել
advisory	խորհրդակցական (ձայն, ժողով)
advizable	հանձնարարելի, նպատակահարմար, ցանկալի
advocacy	պաշտպանություն, պրոպագանդա, փաստաբանություն
advocate	պաշտպան, կողմնակից, փաստաբան
aegis	պաշտպանություն, հովանի
aerate	քամահարել, գազավորել, գազով հագեցնել
aeration	քամահարում, օդափոխություն, գազավորում, գազով հագեցնելը
aerial	անտենա, օդային, եթերային, վերերկրյա
aerie	տուն` բարձր լեռների մեջ, ձագերով լի բուն, արծվի բուն
aeriform	գազանման, օդային, ոչիրական
aerify	գազային վիճակի վերածել, գազավորել
aerobatics	ձեվավոր թռիչքներ, օդաչուական բարձրագույն վարպետություն
aerocarrier	ավիակիր(նավ)
aerodrom	օդանավակայան
aerodynamics	աերոդինամիկա
aerolite	օդաքար, ասուպ, մետեորիտ
aerometry	օդաչափություն
aeronautics	օդագնացություն, ավիացիա, օդաչուական գործ
aeronaut	օդագնաց, օդանավորդ
aeronavigator	օդաչու-շտուրման
aerophone	ռադիոհեռախոս
aeroplane	օդանավ, ինքնաթիռ, սավառնակ
aeroport	օդանավակայան
aerostatics	աերոստատիկա, օդագնացություն
aerostation	օդագնացություն
aerostat	օդապարիկ
aerotechnics	ավիատեխնիկա
aery	տուն` բարձր լեռների մեջ, արծվի բուն, ձագերով լի բուն
aesthete	էսթետ, գեղապաշտ, գեղամոլ
aesthetics	էսթետիկա, գեղագիտություն
aesthetic	էսթետիկ, գեղագիտական
afar	հեռու
affability	սիրալիրություն, քաղաքավարություն
affable	քաղցրաբարո, սիրալիր, քաղաքավարի
affair	գործ, զբաղմունք, կռիվ, ընդհարում (ռազմ.)
affectation	առերես սեր, սեթեվեթություն, ձեվանալը, արհեստականություն
affected	ազդված, հուզված, ախտահարված, վնասված, ցույցի համար, շինծու, ձեվական, արհեստական
affectionate	սիրող, քնքուշ
affection	կապվածություն, մտերմություն, հուզմունք, հիվանդություն
affective	հուզիչ, սրտառուչ
affect	ներգործել, ազդել, հուզել, դիպչել(շահերին), ախտահարել, ձեվանալ, սիրել գործածել(որեվէ բան)
affiance	նշանախոսություն, վստահություն
affidavit	երդմամբ հաստատված գրավոր ցուցմունք
affiliate	միանալ, անդամ ընդունել, հաստատել հայրությունը, որդեգրել
affiliation	միացնելը, որդեգրելը, անդամ ընդունելը, հայրություն հաստատելը
affinage	զտում, մաքրում
affined	ազգակից
affinity	մերձավորություն, կապակցությունխնամություն
affirmation	հաստատում
affirmative	հաստատական, դրական
affirm	հաստատել, պնդել
affix	ավելացնել, կցել, հաստատել, վերջադիր կամ առաջադիր մասնիկ
affliction	վիշտ, տրտմություն, դժբախտություն
afflict	տանջանք պատճառել, վշտացնել, տրտմեցնել
affluence	հորդություն, առատություն, հարստություն
affluent	հորդահոս, հոսող, առատ, հարուստ, վտակ(գետի)
afflux	ուժգին հոսում, հոսանք, կուտակում, արյունախռնում, նոպա
afford	ի վիճակի լինել որեվէ բան անելու, միջոցներ ունենալ, տալ
afforestation	անտառատնկում, անտառապատում
afforest	անտառապատել, անտառ տնկել
affranchise	ազատել(ստրկությունից, պարտակա-նությունից)
affray	վեճ, կռիվ, խռովություն
affricate	աֆրիկատ, կիսաշփական
affright	ահ, սարսափ
affront	նախատինք, թշնամություն, դիմագրավում
affuse	թափել, սրսկել
afghani	աղվանի
afghan	աղվանացի, աղվանական
afield	դաշտում, far ~ - հեռու, հեռվում
afire	կրակի մեջ, բռնկված
aflame	բոցերի մեջ, բոցավառված,
aflat	մակերեվույթին հավասար, հարթ
afloat	շարժման մեջ, ծովում, նավի վրա, նավատորմում, ընթացքի մեջ
afoot	հետիոտն, կանգուն, շարժուն
aforecited	վերը բերված, վերը նշված
aforenamed	վերը նշված, վերոհիշյալ
aforethought	կանխամտածված, դիտավորյալ
aforetime	հնում, առաջ, մի ժամանակ
afore	առաջ, նախընթաց
afraid	վախեցած
afresh	նորից, վերստին
african	աֆրիկացի, աֆրիկյան
afront	առջեվը, դեմ առ դեմ
afterbirth	ընկերք
aftercrop	երկրորդ հունձ
afterglow	վերջալույս, մայրամուտի շողք
aftergrass	աշնանախոտ(հնձելուց հետո բուսած
aftermath	աշնանախոտ, երկրորդ հունձ(խոտի), հետեվանք
afternoon	կեսօրից հետո
afterpiece	դիվերտիսմենտ(ներկայացումից հետո կարճատեվ պարեր, երաժշտություն
aftertaste	մնացած համ(ուտելուց), նստվածք
afterthought	ուշացած միտք
aftertreatment	հետագա մշակում
afterwards	հետո, ապա, հետագայում
after	հաջորդ, հետին, հետեվից, ավելի ուշհետո, անց, այն բանից հետո, երբ
aft	հետակողմում, դեպի հետակողմը
against	հակառակ, դեմ, ընդդեմ
again	նորից, դարձյալ, կրկին, բացի դրանից, մյուս կողմից
agape	բերանը բաց արած
agaric	թիթեղասունկ
agate	ագատ
agave	պերճածաղիկ
aged	տարեց, տարիքոտ, ծեր, հին
ageless	չծերացող, հավերժական
agency	միջոց, միջնորդություն, գործակալություն, գործոն, ուժ
agenda	օրակարգ, հուշատետր
agent	գործակալ, պատճառ, գործոն, ազդակ, գործիչ, կատարող, ներկայացուցիչ
age-old	դարավոր, վաղեմի
age	հասակ, դարաշրջան, սերունդ, ծերություն, ծերացնել, ծերանալ
agglomerate	համախմբել, կիտել
agglomeration	կուտակում, դիզում, ագլոմերացիա
agglutinate	կպցրած, սոսնձած, կցական, կպցնել, սոսնձել, կցել
agglutination	կպցնելը, կցելը, կցականություն, կցում
agglutinative	կպչուն, մածուցիկ, կցական
aggrandize	մեծացնել, ընդարձակել
aggravate	ծանրացնել, սաստկացնել, խորացնել, գրգռել, չափազանցնել, ավելացնել
aggravating	վատթարացնող, ծանրացնող, սաստկացնող
aggravation	վատթարացում, ծանրացում, սաստկացում
